Day,Dept,Section,Time,Teacher,Course,Room
Wed,EEE,EEE 3A,10:20-11:10,ZT,EEE-212,CSE lab 1
Wed,EEE,EEE 3A,11:40-12:30,SSI,LANG-202,303
Wed,EEE,EEE 3A,12:35-1:25,SSI,LANG-202,303
Wed,EEE,EEE 3A,1:40-2:30,SSI,LANG-202,303
Wed,EEE,EEE 2A,8:30-9:20,PK,"MATH-
105",402
Wed,EEE,EEE 2A,9:25-10:15,MMBS,CSE-109,403
Wed,EEE,EEE 2A,11:40-12:30,AUK,EEE-105,403
Wed,EEE,EEE 2A,12:35-1:25,MM,PHy-103,403
Wed,EEE,EEE 1A,8:30-9:20,JAA,EEE-101,404
Wed,EEE,EEE 1A,9:25-10:15,SMA,GEBS-101,402
Wed,EEE,EEE 1A,10:20-11:10,SMA,"GEBS-
101",402
Wed,EEE,EEE 1A,11:40-12:30,JAA,EEE-102,EEE Lab
Wed,EEE,EEE 1A,12:35-1:25,JAA,EEE-102,EEE Lab
Wed,EEE,EEE 1A,1:40-2:30,JAA,EEE-102,EEE Lab
Wed,CE,CE 3A,8:30-9:20,MSH,CE 200,306
Wed,CE,CE 3A,9:25-10:15,MSH,CE 200,306
Wed,CE,CE 3A,10:20-11:10,MSH,CE 200,306
Wed,CE,CE 3A,11:40-12:30,SSI,LANG 202,303
Wed,CE,CE 3A,12:35-1:25,SSI,LANG 202,303
Wed,CE,CE 3A,1:40-2:30,SSI,LANG 202,303
Wed,CE,CE2A,9:25-10:15,TH,"CHEM
105",301
Wed,CE,CE2A,10:20-11:10,RHS,CE 103,301
Wed,CE,CE2A,11:40-12:30,PK,"MATH
103",304
Wed,CE,CE2A,12:35-1:25,NR,EEE 165,402
Wed,CE,CE 1A,8:30-9:20,TH,"CHEM
101",401
Wed,CE,CE 1A,9:25-10:15,SMA,GEBS-101,402
Wed,CE,CE 1A,10:20-11:10,SMA,"GEBS-
101",402
Wed,CE,CE 1A,11:40-12:30,RHS,CE 100,301
Wed,CE,CE 1A,12:35-1:25,RHS,CE 100,301
Wed,CE,CE 1A,1:40-2:30,RHS,CE 100,301
Wed,ME,ME  3A,9:25-10:15,MMBS,CSE 275,403
Wed,ME,ME  3A,10:20-11:10,KAH,ME 205,401
Wed,ME,ME  3A,11:40-12:30,SSI,"LANG
202",402
Wed,ME,ME  3A,12:35-1:25,SSI,"LANG
202",402
Wed,ME,ME  3A,1:40-2:30,SSI,"LANG
202",402
Wed,ME,ME2A,8:30-9:20,TH,"CHEM
101",401
Wed,ME,ME2A,9:25-10:15,SMA,GEBS 101,402
Wed,ME,ME2A,10:20-11:10,SMA,"GEBS
101",402
Wed,ME,ME2A,11:40-12:30,PK,"MATH
103",304
Wed,ME,ME2A,12:35-1:25,AUK,EEE 173,304
Wed,ME,ME 1A,8:30-9:20,MH/UP,ME 103,304
Wed,ME,ME 1A,9:25-10:15,MH/UP,ME103,304
Wed,ME,ME 1A,12:35-1:25,MR,EEE 159,402
Wed,ENG,ENG 1A,8:30-9:20,DMO,ENG 1103,305
Wed,ENG,ENG 1A,9:25-10:15,DMO,ENG 1103,305
Wed,ENG,ENG 1A,10:20-11:10,DMO,ENG 1103,305
Wed,ENG,ENG 1A,11:40-12:30,DMO,ENG 1101,305
Wed,DBA,DBA 1A,8:30-9:20,SHG,BBA-1103,303
Wed,DBA,DBA 1A,9:25-10:15,JA,BBA-1101,303
Wed,DBA,DBA 1A,10:20-11:10,SHG,BBA-1104,303
Thu,CSE,CSE 4A,8:30-9:20,SNH,CSE-220,"CSE Lab
2
ALT"
Thu,CSE,CSE 4A,9:25-10:15,SNH,CSE-220,CSE Lab 2 ALT
Thu,CSE,CSE 4A,10:20-11:10,SNH,CSE-220,CSE Lab 2 ALT
Thu,CSE,CSE 4A,11:40-12:30,MHKB/MAR,GELM 275,302
Thu,CSE,CSE 4A,12:35-1:25,ZT,EEE 279,302
Thu,CSE,CSE 4A,1:40-2:30,ZT,EEE 279,302
Thu,CSE,CSE 3A,10:20-11:10,PK,"MATH
205",303
Thu,CSE,CSE 3A,11:40-12:30,MMHK,CSE-203,303
Thu,CSE,CSE 3A,12:35-1:25,MMHK,CSE-203,303
Thu,CSE,CSE 3A,1:40-2:30,ABA,CSE 217,303
Thu,CSE,CSE 2A,8:30-9:20,NR,EEE 170,"EEE Lab
ALT"
Thu,CSE,CSE 2A,9:25-10:15,NR,EEE 170,"EEE Lab
ALT"
Thu,CSE,CSE 2A,10:20-11:10,NR,EEE 170,"EEE Lab
ALT"
Thu,CSE,CSE 2A,11:40-12:30,NR,EEE 169,402
Thu,CSE,"CSE 1A
(Even)",8:30-9:20,ZT,EEE 163,302
Thu,CSE,"CSE 1A
(Even)",9:25-10:15,MM,PHY 101,302
Thu,CSE,"CSE 1A
(Even)",10:20-11:10,MM,PHY 101,302
Thu,EEE,EEE 3A,9:25-10:15,PM/AH,ME-283,404
Thu,EEE,EEE 3A,10:20-11:10,PK,"MATH-
205",303
Thu,EEE,EEE 3A,11:40-12:30,BCG,EEE-203,403
Thu,EEE,EEE 3A,12:35-1:25,MAR,GEE-201,403
Thu,EEE,EEE 2A,9:25-10:15,AUK,EEE-105,403
Thu,EEE,EEE 2A,10:20-11:10,AUK,EEE-105,403
Thu,EEE,EEE 2A,11:40-12:30,AUK,EEE-106,EEE Lab
Thu,EEE,EEE 2A,12:35-1:25,AUK,EEE-106,EEE Lab
Thu,EEE,EEE 2A,1:40-2:30,AUK,EEE-106,EEE Lab
Thu,EEE,EEE 1A,8:30-9:20,TH,"CHEM-
102",CHE lab
Thu,EEE,EEE 1A,9:25-10:15,TH,"CHEM-
102",CHE lab
Thu,EEE,EEE 1A,10:20-11:10,TH,"CHEM-
102",CHE lab
Thu,EEE,EEE 1A,11:40-12:30,SSI,Phy-101,404
Thu,CE,CE 3A,8:30-9:20,NRK,CE 203,306
Thu,CE,CE 3A,9:25-10:15,RHS,CE 261,301
Thu,CE,CE 3A,11:40-12:30,RHS,CE 210,CSE Lab 1
Thu,CE,CE 3A,12:35-1:25,RHS,CE 210,"CSE Lab
1"
Thu,CE,CE 3A,1:40-2:30,RHS,CE 210,CSE Lab 1
Thu,CE,CE 2A,8:30-9:20,SSI,"PHY
102","PHY
LAB"
Thu,CE,CE 2A,9:25-10:15,SSI,"PHY
102","PHY
LAB"
Thu,CE,CE 2A,10:20-11:10,SSI,"PHY
102","PHY
LAB"
Thu,CE,CE 2A,11:40-12:30,SMA,"LANG
102",401
Thu,CE,CE 2A,12:35-1:25,SMA,"LANG
102",401
Thu,CE,CE 2A,1:40-2:30,SMA,LANG 102,401
Thu,CE,CE 1A,8:30-9:20,ABA,"CSE
176","CSE
Lab 1"
Thu,CE,CE 1A,9:25-10:15,ABA,CSE  176,"CSE  Lab
1"
Thu,CE,CE 1A,10:20-11:10,ABA,"CSE
176","CSE  Lab
1"
